Network	Shapelet Number	P-Value	Genes
random_ppi	9	0.48	gene31,gene35,gene38,gene44,gene46,gene56,gene66,gene69,gene81,gene82,gene84,gene96
random_ppi	4	0.49	gene1,gene28
random_ppi	29	0.5	gene29,gene33,gene47,gene61
random_ppi	26	0.5	gene23,gene61
random_ppi	20	0.51	gene13,gene14,gene16,gene19,gene2,gene22,gene23,gene27,gene28,gene32,gene33,gene36,gene38,gene41,gene43,gene44,gene46,gene49,gene6,gene60,gene61,gene62,gene63,gene66,gene68,gene71,gene74,gene76,gene77,gene81,gene83,gene85,gene86,gene91,gene93,gene96,gene97
random_ppi	51	0.51	gene15,gene76
random_ppi	20	0.51	gene24,gene80
random_ppi	3	0.52	gene11,gene37,gene80,gene9
random_ppi	3	0.52	gene23,gene61
random_ppi	5	0.52	gene23,gene61
random_ppi	61	0.53	gene25,gene78
random_ppi	44	0.54	gene26,gene41,gene51
random_ppi	24	0.55	gene10,gene31,gene39,gene48,gene7,gene90,gene94,gene99
random_ppi	32	0.55	gene23,gene33,gene47,gene61
random_ppi	32	0.55	gene16,gene19,gene24,gene28,gene36,gene37,gene57,gene6,gene68,gene79,gene80,gene83,gene85,gene91,gene97
random_ppi	32	0.55	gene10,gene26,gene60,gene92
random_ppi	32	0.55	gene13,gene27
random_ppi	32	0.55	gene32,gene41
random_ppi	38	0.57	gene26,gene41
random_ppi	14	0.59	gene45,gene58,gene73,gene8,gene86
random_ppi	53	0.6	gene15,gene38,gene46,gene62,gene71,gene81
random_ppi	53	0.6	gene16,gene24,gene35,gene44,gene49,gene6,gene66,gene68,gene69,gene76,gene86,gene95,gene96
random_ppi	37	0.64	gene10,gene24,gene5,gene94,gene99
random_ppi	23	0.65	gene16,gene28,gene36,gene79,gene83,gene85,gene91
random_ppi	23	0.65	gene23,gene61
random_ppi	43	0.67	gene51,gene56
random_ppi	43	0.67	gene66,gene96
random_ppi	43	0.67	gene15,gene41
random_ppi	43	0.67	gene1,gene12,gene16,gene2,gene24,gene38,gene40,gene43,gene46,gene6,gene62,gene67,gene68,gene71,gene76,gene81,gene86,gene95
random_ppi	42	0.68	gene27,gene94
random_ppi	50	0.72	gene83,gene96
random_ppi	50	0.72	gene74,gene79,gene85,gene91
random_ppi	50	0.72	gene43,gene60
random_ppi	15	0.82	gene13,gene19,gene20,gene32,gene33,gene55,gene57,gene6,gene60,gene70,gene72,gene83,gene97
random_ppi	25	0.83	gene31,gene39,gene84
random_ppi	33	0.83	gene37,gene61,gene68
random_ppi	11	0.87	gene15,gene79
random_ppi	11	0.87	gene21,gene38,gene60,gene65,gene67,gene71,gene72,gene74,gene75,gene76,gene95,gene96
random_ppi	13	0.89	gene10,gene24,gene27,gene34,gene55,gene72,gene87,gene88,gene94
random_ppi	34	0.94	gene1,gene13,gene14,gene16,gene18,gene19,gene23,gene24,gene26,gene27,gene28,gene29,gene32,gene33,gene34,gene36,gene37,gene38,gene41,gene43,gene44,gene45,gene46,gene47,gene49,gene53,gene59,gene6,gene60,gene61,gene62,gene64,gene66,gene68,gene71,gene74,gene76,gene8,gene80,gene81,gene83,gene85,gene86,gene87,gene88,gene91,gene93,gene96,gene97
random_ppi	8	0.98	gene26,gene92
random_ppi	8	0.98	gene2,gene40
random_ppi	8	0.98	gene14,gene19,gene23,gene30,gene37,gene60,gene61,gene67,gene79,gene80,gene85,gene91
random_ppi	8	0.98	gene16,gene28,gene76,gene83
random_ppi	8	0.98	gene12,gene68
random_ppi	8	0.98	gene13,gene71
random_ppi	8	0.98	gene18,gene64
random_ppi	8	0.98	gene51,gene56
