gene1	gene2	gene1_string_id	gene2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABI1	WAS	9606.ENSP00000365312	9606.ENSP00000365891	0	0	0	0	0.044	0.286	0.400	0.773	0.894
ABI1	ARF1	9606.ENSP00000365312	9606.ENSP00000440005	0	0	0	0	0.060	0.052	0.900	0.484	0.947
ABI1	NCK1	9606.ENSP00000365312	9606.ENSP00000417273	0	0	0	0	0.105	0.689	0.500	0.664	0.947
ABI1	SOS1	9606.ENSP00000365312	9606.ENSP00000384675	0	0	0	0	0.064	0.332	0	0.997	0.998
ABI1	WASF2	9606.ENSP00000365312	9606.ENSP00000483313	0	0	0	0	0.195	0.915	0.900	0.997	0.999
ABI1	BRK1	9606.ENSP00000365312	9606.ENSP00000432472	0	0	0	0	0.074	0.564	0.900	0.997	0.999
ABI1	CYFIP2	9606.ENSP00000365312	9606.ENSP00000479719	0	0	0	0	0.089	0.861	0.800	0.997	0.999
ABI1	WASF1	9606.ENSP00000365312	9606.ENSP00000376367	0	0	0	0	0.044	0.888	0.800	0.994	0.999
ABI1	CYFIP1	9606.ENSP00000365312	9606.ENSP00000481038	0	0	0	0	0.224	0.838	0.800	0.996	0.999
ABI2	SOS2	9606.ENSP00000295851	9606.ENSP00000216373	0	0	0	0	0.056	0.089	0	0.704	0.724
ABI2	WASL	9606.ENSP00000295851	9606.ENSP00000223023	0	0	0	0	0.042	0.492	0.400	0.848	0.949
ABI2	RAC2	9606.ENSP00000295851	9606.ENSP00000249071	0	0	0	0	0	0.190	0.900	0.400	0.947
ABI2	ELMO2	9606.ENSP00000295851	9606.ENSP00000290246	0	0	0	0	0.043	0	0.500	0.469	0.724
ABI2	NCKAP1L	9606.ENSP00000295851	9606.ENSP00000293373	0	0	0	0	0.053	0.707	0.900	0.974	0.999
ABI2	DOCK1	9606.ENSP00000295851	9606.ENSP00000485033	0	0	0	0	0.043	0	0.500	0.447	0.712
ABI2	CDC42	9606.ENSP00000295851	9606.ENSP00000497733	0	0	0	0	0.043	0.191	0.400	0.548	0.762
ABI2	ABL2	9606.ENSP00000295851	9606.ENSP00000427562	0	0	0	0	0.048	0.580	0	0.471	0.770
ABI2	NCK1	9606.ENSP00000295851	9606.ENSP00000417273	0	0	0	0.570	0	0.331	0.500	0.501	0.818
ABI2	TRIM32	9606.ENSP00000295851	9606.ENSP00000408292	0	0	0	0	0.058	0.754	0	0.447	0.860
ABI2	WAS	9606.ENSP00000295851	9606.ENSP00000365891	0	0	0	0	0	0.286	0.400	0.729	0.873
ABI2	RAC1	9606.ENSP00000295851	9606.ENSP00000348461	0	0	0	0	0.044	0.873	0.500	0.503	0.966
ABI2	BAIAP2	9606.ENSP00000295851	9606.ENSP00000316338	0	0	0	0	0	0.674	0.400	0.860	0.970
ABI2	ABL1	9606.ENSP00000295851	9606.ENSP00000361423	0	0	0	0	0.043	0.868	0.400	0.786	0.981
ABI2	WASF3	9606.ENSP00000295851	9606.ENSP00000335055	0	0	0	0	0.082	0.781	0.540	0.960	0.995
ABI2	CYFIP2	9606.ENSP00000295851	9606.ENSP00000479719	0	0	0	0	0.067	0.741	0.800	0.998	0.999
ABI2	WASF1	9606.ENSP00000295851	9606.ENSP00000376367	0	0	0	0	0.064	0.990	0.900	0.998	0.999
ABI2	CYFIP1	9606.ENSP00000295851	9606.ENSP00000481038	0	0	0	0	0.058	0.988	0.800	0.995	0.999
ABI2	WASF2	9606.ENSP00000295851	9606.ENSP00000483313	0	0	0	0	0	0.885	0.900	0.995	0.999
ABI2	BRK1	9606.ENSP00000295851	9606.ENSP00000432472	0	0	0	0	0	0.985	0.900	0.998	0.999
ABI2	NCKAP1	9606.ENSP00000295851	9606.ENSP00000354251	0	0	0	0	0.110	0.989	0.900	0.998	0.999
ABL1	MAPK1	9606.ENSP00000361423	9606.ENSP00000215832	0	0	0	0.588	0.064	0.110	0	0.695	0.724
ABL1	STUB1	9606.ENSP00000361423	9606.ENSP00000219548	0	0	0	0	0.055	0.636	0	0.398	0.775
ABL1	CCND1	9606.ENSP00000361423	9606.ENSP00000227507	0	0	0	0	0.067	0	0.400	0.577	0.742
ABL1	CDKN1B	9606.ENSP00000361423	9606.ENSP00000228872	0	0	0	0	0.086	0.296	0.400	0.420	0.746
ABL1	VASP	9606.ENSP00000361423	9606.ENSP00000245932	0	0	0	0	0.043	0.400	0	0.558	0.724
ABL1	ATG14	9606.ENSP00000361423	9606.ENSP00000247178	0	0	0	0	0.043	0	0	0.810	0.810
ABL1	RAC2	9606.ENSP00000361423	9606.ENSP00000249071	0	0	0	0	0.086	0.110	0.900	0.353	0.940
ABL1	KRAS	9606.ENSP00000361423	9606.ENSP00000256078	0	0	0	0	0.074	0.110	0	0.669	0.703
ABL1	PIK3C3	9606.ENSP00000361423	9606.ENSP00000262039	0	0	0	0	0	0.053	0	0.947	0.947
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.049	0.069	0	0.754	0.763
ABL1	CBL	9606.ENSP00000361423	9606.ENSP00000264033	0	0	0	0	0.063	0.896	0.900	0.685	0.996
ABL1	TP53	9606.ENSP00000361423	9606.ENSP00000269305	0	0	0	0	0.056	0.292	0	0.875	0.909
ABL1	STAT5B	9606.ENSP00000361423	9606.ENSP00000293328	0	0	0	0	0.065	0.439	0.900	0.727	0.983
ABL1	IL3	9606.ENSP00000361423	9606.ENSP00000296870	0	0	0	0	0	0	0	0.764	0.764
ABL1	CRK	9606.ENSP00000361423	9606.ENSP00000300574	0	0	0	0.583	0.056	0.986	0.900	0.953	0.999
ABL1	CD34	9606.ENSP00000361423	9606.ENSP00000310036	0	0	0	0	0.110	0	0	0.767	0.783
ABL1	PRKDC	9606.ENSP00000361423	9606.ENSP00000313420	0	0	0	0	0.048	0.315	0	0.721	0.802
ABL1	MRE11	9606.ENSP00000361423	9606.ENSP00000325863	0	0	0	0	0	0.045	0.500	0.483	0.731
ABL1	SOCS3	9606.ENSP00000361423	9606.ENSP00000330341	0	0	0	0	0.099	0.535	0	0.515	0.779
ABL1	HSP90AA1	9606.ENSP00000361423	9606.ENSP00000335153	0	0	0	0	0.080	0.788	0	0.922	0.983
ABL1	STAT5A	9606.ENSP00000361423	9606.ENSP00000341208	0	0	0	0	0.088	0.332	0.900	0.724	0.980
ABL1	CRKL	9606.ENSP00000361423	9606.ENSP00000346300	0	0	0	0.597	0.049	0.887	0.900	0.855	0.998
ABL1	FYN	9606.ENSP00000361423	9606.ENSP00000346671	0	0	0.075	0.876	0.083	0.136	0.900	0.422	0.949
ABL1	FN1	9606.ENSP00000361423	9606.ENSP00000346839	0	0	0	0	0.078	0.900	0	0.634	0.963
ABL1	XRCC6	9606.ENSP00000361423	9606.ENSP00000352257	0	0	0	0	0	0.398	0	0.623	0.763
ABL1	NUP214	9606.ENSP00000361423	9606.ENSP00000352400	0	0	0	0	0.058	0	0	0.906	0.907
ABL1	NCKAP1	9606.ENSP00000361423	9606.ENSP00000354251	0	0	0	0	0	0.537	0.400	0.431	0.828
ABL1	GAB2	9606.ENSP00000361423	9606.ENSP00000354952	0	0	0	0	0.063	0	0	0.852	0.855
ABL1	BECN1	9606.ENSP00000361423	9606.ENSP00000355231	0	0	0	0	0	0.051	0	0.872	0.873
ABL1	ENAH	9606.ENSP00000361423	9606.ENSP00000355809	0	0	0	0	0.050	0.400	0.900	0.429	0.963
ABL1	MCL1	9606.ENSP00000361423	9606.ENSP00000358022	0	0	0	0	0.086	0	0	0.741	0.753
ABL1	NRAS	9606.ENSP00000361423	9606.ENSP00000358548	0	0	0	0	0.081	0.110	0	0.667	0.704
ABL1	PSMA7	9606.ENSP00000361423	9606.ENSP00000359910	0	0	0	0	0	0.521	0	0.625	0.812
ABL1	JUN	9606.ENSP00000361423	9606.ENSP00000360266	0	0	0	0	0.049	0.532	0	0.554	0.784
ABL1	HSP90AB1	9606.ENSP00000361423	9606.ENSP00000360609	0	0	0	0	0.091	0.224	0	0.909	0.930
ABL1	RAPGEF1	9606.ENSP00000361423	9606.ENSP00000361264	0	0	0	0	0.150	0.389	0	0.603	0.776
ABL1	FBXW7	9606.ENSP00000361423	9606.ENSP00000474725	0	0	0	0	0	0.091	0	0.703	0.718
ABL1	BCL2L1	9606.ENSP00000361423	9606.ENSP00000365230	0	0	0	0	0.055	0.292	0	0.618	0.722
ABL1	MAVS	9606.ENSP00000361423	9606.ENSP00000401980	0	0	0	0	0.094	0.525	0	0.408	0.723
ABL1	YWHAZ	9606.ENSP00000361423	9606.ENSP00000379287	0	0	0	0	0.067	0.661	0	0.235	0.737
ABL1	SOS1	9606.ENSP00000361423	9606.ENSP00000384675	0	0	0	0	0.060	0.323	0	0.631	0.745
ABL1	SOCS1	9606.ENSP00000361423	9606.ENSP00000496577	0	0	0	0	0.109	0.450	0	0.544	0.757
ABL1	YWHAB	9606.ENSP00000361423	9606.ENSP00000361930	0	0	0	0	0.067	0.717	0	0.163	0.759
ABL1	VAV1	9606.ENSP00000361423	9606.ENSP00000472929	0	0	0	0.554	0.134	0.510	0	0.493	0.766
ABL1	WASF1	9606.ENSP00000361423	9606.ENSP00000376367	0	0	0	0	0.044	0.514	0.400	0.265	0.768
ABL1	WASF2	9606.ENSP00000361423	9606.ENSP00000483313	0	0	0	0	0.054	0.441	0.400	0.385	0.779
ABL1	CDC42	9606.ENSP00000361423	9606.ENSP00000497733	0	0	0	0	0.074	0.110	0.500	0.532	0.781
ABL1	HRAS	9606.ENSP00000361423	9606.ENSP00000407586	0	0	0	0	0.081	0.110	0	0.755	0.782
ABL1	MYC	9606.ENSP00000361423	9606.ENSP00000478887	0	0	0	0	0.087	0.045	0	0.774	0.785
ABL1	GRB10	9606.ENSP00000361423	9606.ENSP00000493728	0	0	0	0	0.042	0.329	0	0.700	0.790
ABL1	PSTPIP1	9606.ENSP00000361423	9606.ENSP00000452746	0	0	0	0	0	0.299	0	0.765	0.828
ABL1	PIK3R1	9606.ENSP00000361423	9606.ENSP00000428056	0	0	0	0.551	0.062	0.793	0	0.203	0.832
ABL1	NCK1	9606.ENSP00000361423	9606.ENSP00000417273	0	0	0	0.606	0	0.778	0	0.460	0.875
ABL1	CDKN1A	9606.ENSP00000361423	9606.ENSP00000384849	0	0	0	0	0.105	0.296	0.400	0.716	0.878
ABL1	CTNNB1	9606.ENSP00000361423	9606.ENSP00000495360	0	0	0	0	0.095	0.539	0.500	0.785	0.949
ABL1	ABL2	9606.ENSP00000361423	9606.ENSP00000427562	0	0	0.068	0.936	0.062	0.531	0.900	0.627	0.981
ABL1	SHC1	9606.ENSP00000361423	9606.ENSP00000401303	0	0	0	0.555	0.141	0.610	0.900	0.776	0.991
ABL1	GRB2	9606.ENSP00000361423	9606.ENSP00000376345	0	0	0	0.748	0.083	0.846	0.900	0.973	0.999
ABL2	FLT3	9606.ENSP00000427562	9606.ENSP00000241453	0	0	0	0.601	0.095	0.316	0.500	0.175	0.710
ABL2	RAC2	9606.ENSP00000427562	9606.ENSP00000249071	0	0	0	0	0.082	0.222	0.900	0.093	0.926
ABL2	CRK	9606.ENSP00000427562	9606.ENSP00000300574	0	0	0	0.585	0.060	0.790	0.900	0.582	0.990
ABL2	CRKL	9606.ENSP00000427562	9606.ENSP00000346300	0	0	0	0.595	0	0.192	0.900	0.575	0.962
ACAA1	ACLY	9606.ENSP00000333664	9606.ENSP00000466259	0.057	0	0	0	0.113	0	0.827	0.453	0.910
ACLY	KLHL25	9606.ENSP00000466259	9606.ENSP00000336800	0	0	0	0	0	0.578	0	0.340	0.710
ACLY	NIT2	9606.ENSP00000466259	9606.ENSP00000377696	0.061	0	0	0	0.104	0	0.800	0.080	0.824
ACLY	IDH1	9606.ENSP00000466259	9606.ENSP00000390265	0.102	0	0	0	0.630	0	0	0.820	0.935
ACLY	AKT1	9606.ENSP00000466259	9606.ENSP00000451828	0	0	0	0	0.075	0	0	0.701	0.711
ACTB	CD4	9606.ENSP00000494750	9606.ENSP00000011653	0	0	0	0	0.042	0.231	0	0.721	0.777
ACTB	VCL	9606.ENSP00000494750	9606.ENSP00000211998	0	0	0	0	0.100	0.105	0.900	0.826	0.984
ACTB	MAPK1	9606.ENSP00000494750	9606.ENSP00000215832	0	0.002	0	0	0.097	0.087	0	0.740	0.767
ACTB	HMOX1	9606.ENSP00000494750	9606.ENSP00000216117	0	0	0	0	0.048	0	0	0.783	0.785
ACTB	MYH9	9606.ENSP00000494750	9606.ENSP00000216181	0	0	0	0	0.420	0.680	0.900	0.602	0.991
ACTB	NFKBIA	9606.ENSP00000494750	9606.ENSP00000216797	0	0	0	0	0.049	0.092	0	0.811	0.823
ACTB	DCTN6	9606.ENSP00000494750	9606.ENSP00000221114	0	0	0	0	0.047	0.851	0	0.457	0.916
ACTB	TGFB1	9606.ENSP00000494750	9606.ENSP00000221930	0	0	0	0	0.059	0	0	0.769	0.773
ACTB	WASL	9606.ENSP00000494750	9606.ENSP00000223023	0	0	0	0	0.046	0.492	0.900	0.630	0.979
ACTB	NFKB1	9606.ENSP00000494750	9606.ENSP00000226574	0	0	0	0	0.054	0.208	0	0.712	0.766
ACTB	CCND1	9606.ENSP00000494750	9606.ENSP00000227507	0	0	0	0	0.062	0	0	0.807	0.811
ACTB	ARPC3	9606.ENSP00000494750	9606.ENSP00000228825	0	0	0	0	0.336	0.405	0.900	0.297	0.968
ACTB	IFNG	9606.ENSP00000494750	9606.ENSP00000229135	0	0	0	0	0	0.143	0	0.771	0.795
ACTB	IL4	9606.ENSP00000494750	9606.ENSP00000231449	0	0	0	0	0.057	0.053	0	0.692	0.700
ACTB	VASP	9606.ENSP00000494750	9606.ENSP00000245932	0	0	0	0	0.132	0.219	0.900	0.422	0.955
ACTB	TUBA4A	9606.ENSP00000494750	9606.ENSP00000248437	0	0	0.201	0	0.063	0.136	0.400	0.618	0.825
ACTB	ACTR10	9606.ENSP00000494750	9606.ENSP00000254286	0	0	0	0.701	0.074	0.946	0	0.772	0.987
ACTB	DYNC1LI2	9606.ENSP00000494750	9606.ENSP00000258198	0	0	0	0	0.042	0.800	0	0.160	0.825
ACTB	DCTN3	9606.ENSP00000494750	9606.ENSP00000259632	0	0	0	0	0.055	0.817	0	0.444	0.896
ACTB	ITGAV	9606.ENSP00000494750	9606.ENSP00000261023	0	0	0	0	0.053	0	0.650	0.442	0.799
ACTB	LMNB1	9606.ENSP00000494750	9606.ENSP00000261366	0	0	0	0	0.076	0.069	0.400	0.802	0.884
ACTB	CDH1	9606.ENSP00000494750	9606.ENSP00000261769	0	0	0	0	0.061	0.069	0	0.824	0.833
ACTB	ARPC1A	9606.ENSP00000494750	9606.ENSP00000262942	0	0	0	0	0.121	0.362	0.900	0.174	0.947
ACTB	MAPK3	9606.ENSP00000494750	9606.ENSP00000263025	0	0.002	0	0	0.085	0.087	0	0.828	0.844
ACTB	CAPZA1	9606.ENSP00000494750	9606.ENSP00000263168	0	0	0	0	0.107	0.924	0	0.513	0.964
ACTB	ACTR3	9606.ENSP00000494750	9606.ENSP00000263238	0	0	0	0.867	0.268	0.443	0.900	0.086	0.957
ACTB	EP300	9606.ENSP00000494750	9606.ENSP00000263253	0	0	0	0	0.047	0.162	0.500	0.510	0.778
ACTB	IL1B	9606.ENSP00000494750	9606.ENSP00000263341	0	0	0	0	0	0	0	0.847	0.847
ACTB	TUBB4A	9606.ENSP00000494750	9606.ENSP00000264071	0	0	0	0	0.063	0.129	0.400	0.642	0.801
ACTB	ATF2	9606.ENSP00000494750	9606.ENSP00000264110	0	0	0	0	0.044	0.053	0.720	0.306	0.800
ACTB	FGF2	9606.ENSP00000494750	9606.ENSP00000264498	0	0	0	0	0	0	0	0.725	0.725
ACTB	STAT3	9606.ENSP00000494750	9606.ENSP00000264657	0	0	0	0	0.084	0	0	0.789	0.798
ACTB	ITGB7	9606.ENSP00000494750	9606.ENSP00000267082	0	0	0	0	0.047	0.070	0.900	0.209	0.920
ACTB	IQGAP1	9606.ENSP00000494750	9606.ENSP00000268182	0	0	0	0	0.101	0.661	0.900	0.587	0.985
ACTB	TP53	9606.ENSP00000494750	9606.ENSP00000269305	0	0	0	0	0.077	0.223	0	0.845	0.879
ACTB	APP	9606.ENSP00000494750	9606.ENSP00000284981	0	0	0	0	0.097	0.099	0	0.775	0.801
ACTB	NCF1	9606.ENSP00000494750	9606.ENSP00000289473	0	0	0	0	0.084	0.490	0	0.532	0.763
ACTB	ARPC5	9606.ENSP00000494750	9606.ENSP00000294742	0	0	0	0	0.202	0.281	0.900	0.272	0.952
ACTB	ARPC2	9606.ENSP00000494750	9606.ENSP00000295685	0	0	0	0	0.259	0.365	0.900	0.305	0.962
ACTB	ITGB5	9606.ENSP00000494750	9606.ENSP00000296181	0	0	0	0	0.042	0.070	0.900	0.319	0.931
ACTB	HSPA9	9606.ENSP00000494750	9606.ENSP00000297185	0	0	0	0	0.067	0.184	0	0.791	0.828
ACTB	NOS3	9606.ENSP00000494750	9606.ENSP00000297494	0	0	0	0	0	0.295	0	0.853	0.892
ACTB	CCT2	9606.ENSP00000494750	9606.ENSP00000299300	0	0	0	0	0.107	0.628	0.500	0.497	0.905
ACTB	DCTN5	9606.ENSP00000494750	9606.ENSP00000300087	0	0.023	0	0	0.049	0.873	0	0.406	0.922
ACTB	FOS	9606.ENSP00000494750	9606.ENSP00000306245	0	0	0	0	0.085	0.053	0	0.705	0.722
ACTB	CXCL8	9606.ENSP00000494750	9606.ENSP00000306512	0	0	0	0	0	0	0	0.729	0.729
ACTB	CASP3	9606.ENSP00000494750	9606.ENSP00000311032	0	0	0	0	0.042	0.095	0.900	0.893	0.989
ACTB	BAIAP2	9606.ENSP00000494750	9606.ENSP00000316338	0	0	0	0	0.042	0.461	0.900	0.166	0.951
ACTB	TCP1	9606.ENSP00000494750	9606.ENSP00000317334	0	0	0	0	0.109	0.508	0.500	0.560	0.891
ACTB	TUBB6	9606.ENSP00000494750	9606.ENSP00000318697	0	0	0	0	0.085	0.129	0.400	0.556	0.759
ACTB	TUBB3	9606.ENSP00000494750	9606.ENSP00000320295	0	0	0	0	0.086	0.129	0.400	0.503	0.731
ACTB	SOX2	9606.ENSP00000494750	9606.ENSP00000323588	0	0	0	0	0	0	0	0.704	0.704
ACTB	HSPA5	9606.ENSP00000494750	9606.ENSP00000324173	0	0	0	0	0.106	0.212	0	0.749	0.808
ACTB	P4HB	9606.ENSP00000494750	9606.ENSP00000327801	0	0	0	0	0.137	0.176	0	0.629	0.714
ACTB	CASP9	9606.ENSP00000494750	9606.ENSP00000330237	0	0	0	0	0	0.099	0	0.807	0.819
